X,Y,objectid,ogc_fid,nazev,druh,poznamka,web,program,ulice,cp_co,email,telefon,nazev_en,poznamka_en,pristupnost_id,zastit_org,brnopass,v_provozu,zastit_org_en,otevrene_od,otevrene_do,pristupnost,pristupnost_en,mapa_pristupnosti,obr_id1,obr_id2,obr_id3,obr_id4,obr_id5,datum_importu_psql
-597405.84,-1160424.4,37,17577,Divadlo Radost,Divadlo,,https://www.divadlo-radost.cz,https://divadlo-radost.cz/program,Bratislavská,216/32,divadlo@divadlo-radost.cz,533440020,Radost Theatre,,29,,Ne,Ano,,,,přístupné,accessible,https://gis.brno.cz/mapa/mapa-pristupnosti/?i=-597394.3:-1160417.38&c=-597394.3:-1160417.38,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180636&RECORD_ID=17577&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598709.9901,-1161777.3902,38,17486,DRFG Arena,Koncertní hala,,https://www.drfgarena.cz,http://drfgarena.cz/kalendar-akci/,Křídlovická,911/34,s.homolova@kometagroup.cz,730832195,,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180699&RECORD_ID=17486&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-599255.079999998,-1156184.97,39,17603,Dům Jiřího Gruši,Muzeum,,https://www.mzm.cz/dum-jiriho-grusi/,,Hudcova,321/76,mzm@mzm.cz,515910422,House of Jiří Gruša,,,Moravské zemské muzeum,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180700&RECORD_ID=17603&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598296.129999999,-1160954.13,40,17590,Dům pánů z Kunštátu,Galerie,,https://www.dum-umeni.cz,http://www.dum-umeni.cz/cz/doprovodny-program,Dominikánská,348/9,info@dum-umeni.cz,731656863,The House of the Lords of Kunstat,,9,Dům umění­ města Brna,Ne,Ano,,,,přístupné s asistencí,accessible with assistance,https://gis.brno.cz/mapa/mapa-pristupnosti/?i=-598289.73:-1160948.39&c=-598289.73:-1160948.39,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180607&RECORD_ID=17590&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-597667.350000001,-1160672.16,41,17514,Dům umění města Brna,Galerie,,https://www.dum-umeni.cz,http://www.dum-umeni.cz/cz/doprovodny-program/aktualni,Malinovského náměstí,652/2,info@dum-umeni.cz,515917572,The Brno House of Arts,,10,Dům umění­ města Brna,Ne,Ano,,,,přístupné,accessible,https://gis.brno.cz/mapa/mapa-pristupnosti/?i=-597665.27:-1160672.14&c=-597665.27:-1160672.14,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180499&RECORD_ID=17514&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598287.906599998,-1160686.4615,42,17674,EDUnesto,Hub,,https://www.edunesto.com/,,Veselá,164/14,info@internesto.com,737130131,,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180701&RECORD_ID=17674&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598158.199999999,-1160938.86,43,17693,Ernův sál,Divadlo,,https://ticbrno.cz/pronajmy/ernuv-sal,,Radnická,365/2,pokorna@ticbrno.cz,542427175,Ern's Hall,,,TIC,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180703&RECORD_ID=17693&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598739.245499998,-1160010.2243,44,17599,Etcetera Gallery,Galerie,,https://www.etcetera-auctions.com,http://etcetera-auctions.com/galerie/,Grohova,101/2,info@etcetera-auctions.com,773511799,,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180704&RECORD_ID=17599&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598161.630899999,-1160854.6663,45,17681,EXIT Club Brno,Hudebni klub,,http://www.exitclubbrno.cz/,http://www.exitclubbrno.cz/program,Náměstí Svobody,86/17,exitclubbrno@gmail.com,0,,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180705&RECORD_ID=17681&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598036.73,-1160578.04,46,17616,Expediční klubovna,Podnik s kulturním programem,,https://www.expedicniklubovna.cz,https://www.facebook.com/expeditionclubbrno/events/?ref=page_internal,Jezuitská,6/1,klubovna@expedicniklubovna.cz,777338549,Expedition clubhouse,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180707&RECORD_ID=17616&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-597664.210000001,-1161692.75,47,17659,Fait Gallery,Galerie,,https://www.faitgallery.com,https://www.faitgallery.com/soucasne-a-planovane.html,Ve Vaňkovce,465/2,fg@faitgallery.com,601327215,Fait Gallery,,25,,Ne,Ano,,,,přístupné,accessible,https://gis.brno.cz/mapa/mapa-pristupnosti/?i=-597675.9:-1161694.76&c=-597675.9:-1161694.76,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180648&RECORD_ID=17659&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-600329.2119,-1161685.6671,48,17487,Faval music circus,Hudebni klub,,https://www.faval.cz,http://www.faval.cz/cz/program,Křížkovského,416/22,standa@faval.cz,775611639,,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180709&RECORD_ID=17487&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598277.1888,-1159074.6873,49,17643,Fléda,Hudebni klub,,https://www.fleda.cz,https://www.fleda.cz/program/,Štefánikova,95/24,info@fleda.cz,533433559,,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180711&RECORD_ID=17643&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598296.199999999,-1161025.12,50,17635,Galerie architektury Brno,Galerie,,https://www.galeriearchitektury.cz,https://galeriearchitektury.cz/tag/vystavy/,Starobrněnská,341/18,info@galeriearchitektury.cz,542211701,Gallery of Architecture Brno,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180712&RECORD_ID=17635&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598653.600000001,-1160528.44,51,17525,Galerie Aspekt,Galerie,,https://www.galerieaspekt.com,,Údolní,420/13,galerie@galerieaspekt.com,724535500,Aspect Gallery,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180765&RECORD_ID=17525&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598138.300000001,-1160108.21,52,17506,Galerie D,Galerie,,https://www.galerie-d.cz,http://www.galerie-d.cz/vernisaz.php,Lidická,694/7,art@galerie-d.cz,549257003,D Gallery,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180769&RECORD_ID=17506&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-599255.399999999,-1160296.7,53,17652,Galerie FaVU,Galerie,,https://www.favu.vut.cz/galerie-favu,,Údolní,244/53,simkova@favu.vut.cz,541146850,FaVU Gallery,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180770&RECORD_ID=17652&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598296.129999999,-1160954.13,54,17517,Galerie G99,Galerie,,https://www.dum-umeni.cz,http://www.dum-umeni.cz/cz/doprovodny-program/aktualni,Dominikánská,348/9,info@dum-umeni.cz,542213883,G99 Gallery,,,Dům umění­ města Brna,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180771&RECORD_ID=17517&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-597332.739999998,-1160107.09,55,17596,Galerie Klubovna,Galerie,,https://www.galerieklubovna.cz,,Francouzská,364/33,galerie.klubovna@gmail.com,608614597,Gallery Clubhouse,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180772&RECORD_ID=17596&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-599223.780000001,-1160211.26,56,17598,Galerie OFF/FORMAT,Galerie,,https://www.offformat.cz,https://www.offformat.cz/program/,Gorkého,84/41,gargulakova.magda@gmail.com,737969098,Ratolest OFF/FORMAT,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=180775&RECORD_ID=17598&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-598507.940000001,-1160551.18,57,17624,Galerie Pitevna,Galerie,,https://www.ped.muni.cz/kvv/cz/galerie/galerie-pitevna,https://www.facebook.com/galeriepitevna/events/?ref=page_internal,Komenského náměstí,220/2,galeriepitevna@gmail.com,0,Autopsy Gallery,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=181017&RECORD_ID=17624&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
-599354.969999999,-1159037.21,58,17662,Galerie Platinium,Galerie,,https://www.galerieplatinium.cz,https://www.galerieplatinium.cz/category/aktualni-vystava/,Veveří,3163/111,gp@galerieplatinium.cz,603463748,Gallery Platinium,,,,Ne,Ano,,,,,,,https://gis.brno.cz/ost/filebox/ug_file.php?FILE_ID=181018&RECORD_ID=17662&AGENDA_IDENT=GEO_ASSETS,,,,,2024/09/24 01:30:43+00
